City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,ust'-ilimsk,58.0006,102.6619,62.8,57,100,3.02,RU,1685710788
147,gunnison,38.7,-107.0673,33.58,83,43,0.16,US,1685710788
148,stockelsdorf,53.8905,10.6258,68.32,38,0,16.11,DE,1685710788
149,trevelin,-43.0858,-71.4639,40.48,96,73,5.44,AR,1685710788
150,winslow,35.0242,-110.6974,57.38,41,0,3.44,US,1685710788
151,kourou,5.1552,-52.6478,84.25,75,7,6.26,GF,1685710789
152,tsiombe,-25.3,45.4833,83.7,32,0,5.08,MG,1685710789
153,fort bragg,35.139,-79.006,69.82,90,100,8.05,US,1685710722
154,thunder bay,48.4001,-89.3168,58.98,94,20,2.3,CA,1685710726
155,hasaki,35.7333,140.8333,75.6,92,100,35.86,JP,1685710733
156,sao felix do xingu,-6.6447,-51.995,83.16,62,11,2.93,BR,1685710789
157,tsengel,49.4783,100.8894,46.26,85,56,3.76,MN,1685710790
158,sao joao da barra,-21.6403,-41.0511,73.49,67,2,13.49,BR,1685710608
159,east london,-33.0153,27.9116,74.34,49,0,4.61,ZA,1685710790
160,east grand forks,47.93,-97.0245,72.09,80,75,10.36,US,1685710622
161,mumbwa,-14.9783,27.0619,85.44,19,2,7.02,ZM,1685710790
162,kapoeta,4.7717,33.5903,96.53,24,10,12.91,SS,1685710790
163,keflavik,64.0049,-22.5624,50.43,87,75,12.66,IS,1685710791
164,tura,25.5198,90.2201,82.26,37,0,4.56,IN,1685710791
165,barra de santo antonio,-9.4047,-35.5072,79.88,69,18,7.81,BR,1685710791
166,senanga,-16.1167,23.2667,91.89,16,5,4.38,ZM,1685710791
167,vilhena,-12.7406,-60.1458,70.02,100,75,9.22,BR,1685710662
168,maputo,-25.9653,32.5892,78.22,56,20,7.0,MZ,1685710791
169,enewetak,11.3474,162.3373,81.88,81,79,21.16,MH,1685710792
170,sabang,5.8933,95.3214,83.64,79,100,17.63,ID,1685710792
171,holualoa,19.6228,-155.9522,73.24,87,20,3.0,US,1685710752
172,uturoa,-16.7333,-151.4333,76.37,63,39,7.29,PF,1685710792
173,lihue,21.9789,-159.3672,72.64,90,34,9.33,US,1685710792
174,puerto aysen,-45.4,-72.7,42.73,96,100,4.63,CL,1685710793
175,tokar,18.4254,37.729,98.89,32,4,14.94,SD,1685710793
176,klyuchi,52.2667,79.1667,82.53,24,22,8.81,RU,1685710793
177,long beach,33.767,-118.1892,62.69,86,100,8.05,US,1685710516
178,moranbah,-22.0016,148.0466,61.21,86,0,10.25,AU,1685710793
179,kloulklubed,7.0419,134.2556,84.38,75,46,8.37,PW,1685710793
180,porto novo,6.4965,2.6036,86.54,65,100,11.23,BJ,1685710794
181,susuman,62.7833,148.1667,50.49,54,99,3.27,RU,1685710794
182,koulikoro,14.0,-7.75,103.14,22,100,12.62,ML,1685710794
183,say,13.1007,2.3689,103.35,28,100,11.27,NE,1685710794
184,zhosaly,45.4878,64.0781,93.51,8,100,17.72,KZ,1685710794
185,al hindiyah,32.5433,44.2225,101.95,11,100,14.88,IQ,1685710795
186,prachuap khiri khan,12.2167,99.75,87.69,70,69,9.91,TH,1685710601
187,rosa zarate,0.3333,-79.4667,75.06,89,100,2.66,EC,1685710795
188,whitehorse,60.7161,-135.0538,40.01,64,20,6.91,CA,1685710795
189,nouadhibou,20.931,-17.0347,75.18,69,20,14.97,MR,1685710795
190,hilo,19.7297,-155.09,70.61,97,100,3.44,US,1685710795
191,darwin,-12.4611,130.8418,73.38,88,0,0.0,AU,1685710507
192,la'ie,21.6477,-157.9253,75.16,81,92,12.26,US,1685710619
193,labytnangi,66.6572,66.4183,64.8,44,19,19.3,RU,1685710796
194,ar ruways,24.1103,52.7306,93.78,36,2,10.04,AE,1685710796
195,callao,-12.0667,-77.15,71.89,73,100,4.61,PE,1685710796
196,mananara,-16.1667,49.7667,73.67,88,32,6.82,MG,1685710797
197,paka,4.6374,103.4368,82.33,83,96,0.0,MY,1685710797
